Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405278321,00000149320186070019,2018-04-2616:56:30.,{12553},{11778},0
405278323,00001231920176070092,2017-12-2214:24:16.,{12559},{11778},0
405278324,00000470620196070001,2019-03-1813:01:01.,{272},{11778},0
405278326,00000603120176070015,2017-12-1513:47:56.,{261},{11778},0
405278327,00001275120176070999,2017-05-2418:51:13.,{12559},{11778},0
405278333,00001318820176070999,2017-05-2418:57:30.,{12559},{11778},0
405278334,00001474720176070092,2017-12-2817:11:52.,{12559},{11778},0
405278335,00000549020186070014,2018-09-1016:22:57.,{12549},{11778},0
405278343,00000274320186070003,2018-06-1216:44:40.,{12549},{11778},0
405278347,00001197420176070999,2017-05-1918:46:14.,{12559},{11778},0
405278350,00000567920176070019,2017-09-2615:51:23.,{12553},{11778},0
405278353,06000019820206070011,2020-02-2615:17:58.,{12559},{11778},0
405278356,00000283220176070013,2017-04-2715:47:54.,{12549},{11778},0
405278359,00000084020186070002,2018-11-0800:00:00.,{11528},{11778},0
405278360,00000925720176070008,2017-10-2700:00:00.,{12549},{11778},0
405278361,00000012820176070020,2017-02-0316:52:44.,{355},{11778},0
405278364,00000087920196070010,2019-02-2817:26:00.,{12549},{11778},0
405278375,06000383420206070009,2020-02-2815:48:31.,{241},{11778},0
405278390,00000012420186070010,2018-01-1016:43:35.,{12549},{11778},0
405278393,00000062820186070016,2018-03-1612:44:46.,{355},{11778},0
405278419,00003162920176070999,2017-08-0219:03:16.,{12559},{11778},0
405278426,00000799720176070092,2017-10-2714:55:47.,{12559},{11778},0
405278427,00000447020186070006,2018-06-0513:25:33.,{355},{11778},0
405278440,00003076720176070999,2017-08-0216:52:05.,{12559},{11778},0
405278445,00000706820186070006,2018-11-1618:15:56.,{272},{11513},0
405278451,00000550520186070005,2018-08-1613:20:02.,{12559},{11778},0
405278454,00000282920176070014,2017-04-2416:48:11.,{12549},{11778},0
405278455,06000299020206070003,2020-11-2516:43:52.,{355},{11778},0
405278456,00000494720186070021,2018-09-1815:09:52.,{355},{11778},0
405278457,00000747520176070092,2017-10-1818:42:34.,{12559},{11778},0
405278458,00000590920176070092,2017-10-1818:07:39.,{12559},{11778},0
405278466,00000011420156070015,2014-11-2812:11:48.,{261},{11778},0
405278511,00000058020176070015,2017-02-1712:27:01.,{355},{11778},0
405278512,06000415920206070018,2020-04-0200:00:00.,{279},{11778},2014
405278530,06000540720196070014,2019-11-2009:23:32.,{11541},{11778},2018
405278534,00000601620176070020,2017-07-0514:49:48.,{12549},{11778},0
405278539,06000015320196070005,2019-08-2700:00:00.,{12554},{11778},0
405278540,00000431620176070008,2017-06-1200:00:00.,{12549},{11778},0
405278543,06000880220216070017,2021-09-1500:00:00.,{12560},{11778},0
405278547,00000235920176070999,2017-03-1016:15:48.,{12559},{11778},0
405278561,00000480520176070019,2017-08-0317:42:16.,{12549},{11778},0
405278573,00001722920186070091,2018-06-1220:15:48.,{12553},{11778},0
405278591,00000272620176070020,2017-04-2614:33:42.,{12549},{11778},0
405278622,00000577220186070005,2018-08-2114:03:49.,{12559},{11778},0
405278635,00000174420196070009,2019-04-0916:32:06.,{272},{3572},0
405278696,06000565220206070010,2020-04-1318:16:42.,{241},{11778},0
405278714,00000040920196070021,2019-01-2315:17:28.,{12549},{11778},0
405278733,00001803220176070999,2017-06-0819:06:48.,{12559},{11778},0
405278741,06000853520206070000,2020-07-0920:57:31.,{12377},{11778},0
405278787,00000024620176070009,2017-02-0713:37:24.,{261},{11778},0
405278795,00001431020176070092,2017-12-2816:48:38.,{12559},{11778},0
405278808,00000480420186070008,2018-06-0100:00:00.,{12549},{11778},0
405278824,00001376920186070091,2018-06-0518:20:01.,{12553},{11778},0
405278828,06000254720206070005,2020-09-1800:00:00.,{12554},{11778},2020
405278829,00000383620176070091,2017-08-1020:55:49.,{12559},{11778},0
405278831,00000840420176070001,2017-07-1111:44:10.,{12552},{11778},0
405278839,06000210520196070018,2019-12-0917:54:49.,{261},{11778},0
405278843,06000719520206070050,2020-06-0700:00:00.,{12553},{11778},0
405278850,06003117420196070000,2019-11-2700:00:00.,{12552},{11778},0
405278867,00001123120156070004,2015-08-1300:00:00.,{1116},{11778},0
405278948,00000601320176070021,2017-09-1816:44:09.,{12549},{11778},0
